"Rocket With Fin Section: Position in Rocket Tip[Y] (m)","Rocket With Fin Section: Pressure (Pa)"
-0.014723672971096629,5199.428580793865
-0.013288933318706472,6331.515865323081
-0.01135235647635954,10318.835877188827
-0.009741107832127645,12901.753455820837
-0.00728633002179089,15743.27414644117
-0.004180000111694493,16319.154721762956
-0.0010063377695543854,13930.52035136984
0.002130121331800345,13996.854869899273
0.005502320176762762,13918.51960872599
0.00891487798634658,13379.641005580512
0.011683036090085667,13558.47585807722
0.014954433831684672,13382.418843420255
0.018219466636711656,12967.489477781148
0.02144288622981078,12782.211514123837
0.024518828326882618,12785.084171362289
0.0278284695249104,12656.13227355328
0.031093947072534357,12247.639073635075
0.034405706046532286,11967.425962585203
0.03773127395343625,12012.50984507676
0.04085044260694505,12272.038401073234
0.04404459617444789,12280.817124008432
0.047264333657238804,11993.316704291436
0.0504060590280989,11697.57945535057
0.05378060248921588,11388.132331541643
0.05705874540472364,11223.649751663403
0.06022158052728684,10975.20772984091
0.06364473837617564,10959.80267320991
0.06693742380701179,10783.619981942116
0.06967865184513738,10721.761174881054
0.07306981875363032,10792.285929472191
0.07626684989562431,10595.565737413333
0.07968554712553758,10209.069118667947
0.08282783989447287,10122.963535262443
0.08605663311214441,10217.641135242517
0.08927452954776462,10017.809582451973
0.09267481053401361,9970.218360136241
0.09586840924499529,9960.27413613085
0.09894238084423024,9667.695906853442
0.10234224371710197,9482.988012916032
0.10569497760064615,9360.065402586708
0.10900017773122725,9209.208575999657
0.11233447336999022,9097.845612248122
0.11507985647472437,8965.75937125411
0.11863530314092526,9004.631148172262
0.12178374989219759,8891.689589166928
0.12507452432072447,8596.876030144369
0.12838365182492167,8493.777589345062
0.13168152077777076,8272.044920650877
0.1348053995772395,8050.980366690896
0.13824757095792264,7990.111483170944
0.14144249388158606,7934.070342776938
0.14465863372466417,7942.668803769985
0.14791260092118075,7786.319728827451
0.1512092227808789,7499.7233944940945
0.154385017959089,7268.601717481405
0.15791755419871223,7244.4089899625205
0.16106211199185747,7123.480127942687
0.1643595937326122,6902.138630841129
0.1676774960503816,6981.043606760137
0.1708982202060417,6931.580499484101
0.1741335640129736,6654.858925617718
0.1772337208551949,6488.96713680937
0.1806223351515573,6522.402752510601
0.1839824088531175,6320.341708562055
0.187222215380706,6192.227163878484
0.19037005399934032,6198.017730960637
0.19383004427939682,5998.38260701762
0.19712527177178132,5700.489618860978
0.20023269851703376,5590.462370057932
0.20369202319469573,5673.130313709432
0.20680603086976126,5505.683205786203
0.20998187810019212,5378.768798288093
0.21348781194682287,5263.308438116912
0.2167096514932041,5058.838995440459
0.22010379716695327,5011.663396884953
0.22338626129689665,4862.41802066399
0.22657768342269824,4723.128058466291
0.23023576619454023,4640.641606684357
0.23301815114105692,4584.8896658079975
0.2363533653014351,4534.219096559155
0.23961756101872475,4374.304641834848
0.24319079799040952,4209.483188782539
0.24644817085605195,4162.072119984027
0.249741153015659,4059.379429599321
0.25293570746710653,3945.3303221494657
0.25645752133392413,3764.239742318298
0.2596231261133614,3681.7113909229574
0.2629110176546238,3570.185736213165
0.2662242527315181,3440.231208007679
0.26947852972178493,3367.5154910083766
0.272897435017962,3206.39994258726
0.2762910906515476,3011.6441706294163
0.2794164157637841,2992.0557502714246
0.28257496825437295,3003.454353544809
0.28578395139105905,2874.2320795103183
0.28926721829874047,2714.148000356833
0.2925285777801786,2569.388400833406
0.2960064457477175,2512.2127671399853
0.2994010892932305,2465.3670478130894
0.30255458998303275,2362.7137751417877
0.30572451795630984,2221.1436857544427
0.3090071433139364,2094.6940658508083
0.31226513861434524,2019.9230016231
0.3157074220255919,1971.584798354803
0.3192648201837923,1838.66913335193
0.32260404371108853,1690.4676546285953
0.32586490201891916,1610.7301346330025
0.32916888845496384,1488.7489466475745
0.3323725482484158,1453.6624266834458
0.3355817109263478,1437.1287160794975
0.3388976319360551,1231.9445426074167
0.34246403840436895,1128.475588362519
0.34568761743449655,1022.6123638183263
0.3488888744303778,870.6452822414329
0.3524447547880854,801.5424763623018
0.35531292967979927,734.6843134983311
0.35891046432170876,666.2065485516247
0.3621512712317572,593.9496938908707
0.3654865935609711,488.9447232288731
0.36883160433716694,338.1054679891588
0.37214425722100036,218.69496840805255
0.37571864720494325,205.984102690416
0.3786698210472628,129.18823142606433
0.38201779731243307,-8.9306415365884
0.38561606061435044,-111.69074019163314
0.38861681912251084,-172.02372910059813
0.3923212417113436,-234.60400465647265
0.3953234454730901,-322.0540912806978
0.3987344391711252,-374.157308833631
0.4021112783015333,-469.67827742703736
0.40547390741661743,-586.2519240940188
0.4088786119261479,-634.6645777636037
0.41184535096571767,-768.0715475250698
0.41526670069810856,-847.5220132698192
0.41861227532862055,-968.376916649072
0.42200920704232403,-1043.447110690128
0.42538576423110785,-1090.3529298060782
0.4287457508157011,-1195.3022549569341
0.43215509104113603,-1266.8852342647988
0.43512361964751567,-1320.0190080881282
0.4387447076274349,-1354.288012552781
0.4420743423251696,-1553.2419150636329
0.4453190871071395,-1630.3384900392068
0.44865942614089893,-1659.286637761274
0.452032075350689,-1755.9077196057488
0.4554308405789016,-1816.711802386592
0.458793749035211,-1919.8813985078423
0.4618619844985006,-1937.2182567850884
0.4651910452383008,-2062.1346353024237
0.46858994598476333,-2144.703878630373
0.4719759687789582,-2270.4354608497433
0.4753297778344694,-2345.240730398588
0.47869919321467225,-2362.918461118796
0.482022954302453,-2468.7420529365454
0.48509817241403286,-2476.469893071936
0.4885231983192486,-2591.8389901382097
0.49191111932804366,-2662.708524400392
