"Rocket Body Section: Position in Rocket Tip[Y] (m)","Rocket Body Section: Pressure (Pa)"
-0.014387526134425472,4985.140333344134
-0.01298922019998546,7063.3338001165575
-0.010315684365453904,11526.028184657793
-0.00791256630462686,14684.736081596093
-0.004178231962164134,16280.216254646604
-0.0010234313836088105,13793.892348107915
0.002066116652323496,13643.75491448402
0.005537423392269159,13628.776844729726
0.008688787091541535,12854.538145118897
0.012052212251928655,12590.534687959202
0.015056915243943257,13082.730224928733
0.018051032488983317,13371.522047560893
0.021534376545150995,13075.011108442533
0.024522390970143956,12860.25741416348
0.02799664325748717,12755.509069523023
0.031034038892552275,12439.819504688603
0.034531295865837,11958.818528763566
0.0378595225896596,11795.76685112843
0.04082752709134537,11982.552348583009
0.043864556681148824,11959.872697246072
0.047352826436776366,11764.074890487916
0.0503718761062983,11933.82706273298
0.05362134305188521,11490.608545182442
0.05710795137667452,11193.223439339788
0.06033625626071343,11000.958048521301
0.06338062549831486,10928.912925466944
0.06710800931577848,11017.513744212236
0.06942246273110658,11010.20829319005
0.07285031161658477,10855.362066926442
0.0762494138455753,10513.807799215845
0.07977745123387374,10310.229405185852
0.08309770537027808,10191.997068218847
0.08650700851993588,9950.623701013563
0.08875956756528404,9965.924190266356
0.09251348212952139,9963.867487627364
0.09583876370155932,9813.68098684576
0.09887080130914051,9755.887795866105
0.10237581861283063,9563.47332038158
0.10576100269022504,9149.250717291634
0.1087961149843596,9052.986594817909
0.11259994816446717,9150.718934383796
0.11486465964653314,9005.602137796444
0.1188028573806935,8989.599661814373
0.12172004071580021,8824.748299644776
0.12513687692055375,8515.836263435122
0.12842365393294916,8387.265176112789
0.1317733991757238,8226.759583926905
0.13556261007151735,8209.118587658257
0.13757051903786607,8148.62561079891
0.1417347284769613,8001.657246774592
0.14497570653566147,7829.743460208738
0.14788602335826204,7698.458649875843
0.15133883423100855,7456.918004770031
0.15493007186478844,7336.178703852412
0.15809600245624753,7179.121524770224
0.1611454338511272,7106.493870679983
0.16441654869129502,7071.967126392721
0.16762881824078352,7019.088634004722
0.1708578622066333,6936.366733106125
0.1741844457667477,6730.459139133608
0.1774786379836633,6475.497045004353
0.18049023331188013,6307.876946947637
0.1836056331804355,6399.194445339127
0.18770253383200225,6242.827046899314
0.19083163815001597,6012.914041870628
0.1937432291689321,5977.891822222826
0.19714074865569425,5823.063696556793
0.20059374543266745,5685.730578961057
0.20386151399766717,5519.083494978694
0.20686080290615716,5515.920834384204
0.21000613767038456,5461.593468357138
0.2137503771464322,5264.051582483644
0.21675803605721478,5063.242640727394
0.21986878231966478,4980.424708879222
0.2234037078750608,4987.360151367516
0.2271422444355713,4830.157080572844
0.2302627266348123,4659.684223971524
