"Rocket With Fin Section: Position in Rocket Tip[Y] (m)","Rocket With Fin Section: Position in Rocket Tip[X] (m)"
-0.014006303144901328,-0.00412965062696736
-0.012320644897533007,-0.0036388543679716115
-0.010546732154243593,-0.003124549328316517
-0.00851371892695949,-0.0025369558047724427
-0.005733165066742691,-0.0017097232635763036
-0.002593168940624217,-7.848214727663143E-4
5.618917811229796E-4,1.123041833780278E-4
0.0038162207542815534,0.0010415501467410022
0.007208599081554449,0.0020038865700815296
0.010298957038216346,0.0028662391089895305
0.013318734960884948,0.00370428692958296
0.016586950234198164,0.004606565339920448
0.019831176433261218,0.0054953719958074024
0.022980857278346475,0.006352865632704707
0.02617364892589651,0.0072171950461912765
0.0294612082987226,0.008100128962597146
0.03274982655953354,0.008975689151208709
0.036068489999984264,0.009852747147040906
0.039290858280190646,0.010695807310420587
0.04244751939069669,0.011518176232433544
0.04565446491584335,0.012348344605174118
0.048835196342668634,0.013166690592268677
0.052093330758657394,0.014000916855283355
0.05541967394696976,0.014843397008252168
0.058640162966005466,0.015653232061745435
0.061933159451731466,0.01647610417952015
0.06529108109159394,0.017309167195078454
0.06830803782607459,0.018051805190944185
0.07137423529938386,0.018800975021337138
0.07466833432462731,0.019600843876690532
0.07797619851058073,0.02039721255360372
0.08125669351000545,0.021178523551423408
0.08444223650330843,0.021932129837841798
0.08766558132995451,0.02269159513384469
0.09097467004088934,0.023464185020150255
0.09427160988950445,0.02422850417170639
0.09740539504461299,0.02495104919563744
0.1006423122806661,0.025690439860770013
0.10401861065887429,0.02645410936135436
0.10734757766593692,0.027200535370893
0.11066732555060874,0.027939363941053594
0.11370716492235707,0.028611342870237647
0.11685757980782503,0.029300269364074177
0.12020952651656164,0.03002932841756544
0.1234291371064608,0.03072439471354599
0.12672908807282307,0.03142985771181312
0.13003258630134623,0.03213099977640681
0.1332434601775049,0.03280532945671434
0.1365264852675813,0.03348832379119576
0.13984503241975435,0.03417323912953281
0.14305056380312534,0.034830127396535494
0.14628561732292245,0.035488673641119906
0.14956091185103004,0.036148863354845115
0.15279712036998394,0.03679411798492045
0.1561512860789006,0.037456529295858146
0.15948983309528464,0.0381120676163747
0.16271085286223483,0.03873758014343835
0.16601854489149712,0.039373279802984086
0.16928785812821143,0.039997384207196784
0.17251589210950743,0.04060816343802911
0.1756836424340845,0.041200291594924034
0.1789280280033761,0.04180087022159731
0.1823023720023374,0.04242072450946341
0.18560231211691175,0.04302022987381096
0.18879613469002315,0.043595776005598094
0.19210004913936857,0.04418658738222123
0.19547765802558906,0.04478402979945945
0.19867898514440754,0.04534283306864476
0.20196236085586475,0.045910560431882026
0.20524902703222872,0.04647463695953126
0.2083939544849769,0.04700760138467641
0.2117348450235075,0.047568721766802484
0.21509873172001326,0.04812801007635049
0.2184067243300789,0.04867114684437246
0.22174502923192518,0.04921390427290209
0.22498197235979722,0.0497338997224918
0.22840672480861945,0.05027795639725743
0.23162695866779834,0.05078495624954229
0.23468575822124602,0.051260578710300556
0.2379854631600797,0.05176879903492888
0.24140417950456736,0.05228838491752529
0.2448194844232305,0.052801392042855395
0.24809466193585547,0.05328809296262241
0.25133843024138297,0.053764828057914014
0.25469661440051533,0.05425251318065496
0.2580403237236428,0.0547312129254502
0.2612670718839926,0.05518809307620681
0.26456763519307097,0.055650095571533414
0.26785139122665175,0.05610351888744236
0.27118798236987324,0.05655913369466872
0.2745942628347548,0.057017889633678855
0.27785375320766587,0.05744994489840891
0.28099569200907876,0.05786192537092643
0.28417945982271625,0.058275340035356483
0.28752558484489954,0.058703179448000326
0.2908978980394593,0.05912821070646871
0.29426751176394805,0.05954692285444893
0.297703767520474,0.059967991923311946
0.3009778396381314,0.06036345405215019
0.3041395539696715,0.060739868783249155
0.3073658306351231,0.061118195206698006
0.31063614096414083,0.06149613512796088
0.31398628031996834,0.06187818902144896
0.3174861211046921,0.06227118215037578
0.3209344319474402,0.06265172816642069
0.32423447286500406,0.06300997253535132
0.3275168952369415,0.06336103467457281
0.3307707183516898,0.06370280157658494
0.333977129587382,0.06403464366714223
0.3372396714312015,0.06436769435175255
0.34068083517021225,0.06471194559868905
0.344075827919433,0.06504614766511346
0.3472882459324372,0.06535617139010892
0.3506668146092314,0.06567625746103872
0.35387884223394234,0.06597609418067316
0.357111697000754,0.06627142636432741
0.3605308677767332,0.06657851120664508
0.36381893239636415,0.0668682215051993
0.3671590989490688,0.0671567661080865
0.37048793077908365,0.06743781288720598
0.373931452212972,0.0677227577530532
0.37719423412610303,0.06798817943246917
0.3803438091798477,0.0682381955421196
0.38381692896339176,0.06850791788683862
0.38711643986843064,0.06875890895577026
0.39046903041692743,0.06900774179435082
0.39382234359221685,0.06925146953746436
0.39702894232210745,0.06947806723989322
0.40042285873632927,0.06971306176734453
0.40379259285907515,0.0699405018998704
0.40717625967138266,0.07016288818141209
0.4103619814459328,0.07036762743968726
0.41355602583191314,0.07056599403486703
0.41693948801336433,0.0707712912924379
0.42031074118547207,0.07096965303384695
0.4236974856367157,0.0711632412919999
0.4270657575234045,0.07135051123428977
0.43045042092841856,0.07153261048037048
0.43363935534432607,0.0716993197638363
0.4369341636374753,0.07186556343374095
0.4404095249763025,0.0720352243446455
0.44369671471615457,0.07218815684443763
0.44698925662401945,0.07233642590517866
0.4503457507457942,0.07248235299300193
0.4537314579647955,0.07262361645310812
0.4571122948070563,0.07275913346434888
0.4603278667668558,0.07288213014748889
0.46352651486840046,0.07300001639381536
0.46689049561153184,0.07311785636627226
0.47028295738186077,0.07323095379659601
0.4736528733067138,0.07333681922538923
